track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;time_signature;valence
4XDJoZsJM4iM5ogkzEjh0V;0.49;0.511;0.66;1.67e-06;7;0.627;-5.732;1;0.0381;124.565;4;0.774
5WuJevnJxYhhtn30jl6kvH;0.0616;0.413;0.821;0.0;9;0.539;-6.991;1;0.0638;158.891;4;0.838
3QHvyaF0rk6lihlmRiXITi;0.0177;0.697;0.546;0.0;8;0.505;-7.513;1;0.117;171.989;4;0.567
1cl3rurzw8Rj8YN2Lu1xiT;0.606;0.424;0.459;0.000137;9;0.277;-7.879;1;0.0356;144.222;4;0.159
4fm3BJF4lLwMWjZVHH4Jcw;0.762;0.621;0.45;0.0;9;0.0925;-6.053;0;0.0321;139.977;4;0.377
1CtMXR0eZjDbK7PznFmr7J;0.775;0.539;0.852;0.0;6;0.908;-7.492;1;0.932;101.357;1;0.311
3Q566VwXw9YGZOUQ047M1o;0.995;0.334;0.0389;0.72;8;0.155;-21.052;0;0.0487;71.662;1;0.499
0X1mQOLgkPZ9J5aHiGYwq6;0.769;0.648;0.299;0.0;9;0.0536;-13.274;1;0.0287;130.849;4;0.839
1kM8fKmf0XyEBYt4RwczcC;0.0043;0.539;0.955;0.00877;9;0.114;-5.835;1;0.0441;139.977;4;0.386
0zP4ZYB44f3XnW9LAURM8b;0.979;0.586;0.387;0.522;7;0.0817;-13.003;1;0.0358;87.742;4;0.8
2HZbfDu1ORFnxyUHb0dKpC;0.542;0.578;0.365;0.46;2;0.11;-10.895;1;0.0341;89.084;4;0.59
0dYxlrNPfBSF7521remaMG;0.986;0.418;0.0725;0.000385;0;0.109;-17.251;1;0.0351;116.709;4;0.119
2895M8VHx7uz0fDhyNxtRA;0.872;0.614;0.485;0.654;10;0.0355;-10.021;1;0.0956;98.047;4;0.559
4S3sH05VUL7vSLraC1mfxn;0.581;0.587;0.106;0.0;5;0.538;-30.861;0;0.884;56.802;4;0.924
29ZEfLaalWP8wNQuZAdmBO;1.11e-05;0.2;0.892;0.0619;1;0.0901;-6.204;1;0.0735;154.821;4;0.0597
0uQUkp18kRVJfQscoWFlSg;0.24;0.887;0.222;0.0;8;0.0488;-10.871;1;0.0592;82.574;3;0.389
14q2jY9n9KY24Onk5QyObf;0.144;0.583;0.896;0.0;7;0.465;-6.315;1;0.0418;123.326;4;0.482
4ylNLBOd2gInBUzgZemb5B;0.982;0.57;0.498;0.856;1;0.16;-12.045;1;0.056;151.483;3;0.943
44vyhR5cmJ4cAKcTfUWDBV;0.0772;0.547;0.842;0.0;1;0.632;-3.944;1;0.322;186.218;4;0.76
64b7WjhVbTU79gHDwELmxx;0.0212;0.483;0.88;0.0669;2;0.0805;-6.764;0;0.202;129.969;4;0.166
0jex9whNAWfRLXq5q5pVUM;0.00131;0.319;0.941;0.000696;1;0.174;-2.504;0;0.0736;143.976;4;0.489
0BBJthWfuC0TiJ9WTCLyvf;0.115;0.625;0.772;0.0;5;0.0899;-5.919;1;0.0314;113.042;4;0.539
31YbjPpwXVzfPz2K00Pr36;0.000558;0.386;0.943;0.00058;11;0.963;-6.405;1;0.104;95.472;4;0.276
56ODSB5NgDjyR8wKSjCJYH;0.343;0.412;0.144;6.56e-06;0;0.124;-16.766;0;0.0386;96.864;4;0.123
